"voteshare","margin"
0.67199802,0.45671237
0.65939659,0.37394643
0.80254537,0.31879321
1,0.60509074
0.71745491,0.22214445
1,0.49787617
0.71525955,0.47891927
0.70942438,1
1,0.41884872
1,1
0.71035838,1
0.47827607,0.42071673
0.37658352,0.20125955
1,0.11094511
0.75245905,1
0.72308236,0.5049181
1,0.3482604
1,1
1,1
0.53146005,-0.10440639
0.56962669,0.076151103
0.56940454,0.18348038
0.59431541,0.14263508
0.63788074,0.18863082
0.64526403,0.27576146
1,0.43506423
0.60950172,1
0.54330248,0.21900344
0.52074534,0.16119823
1,0.041490704
0.51898038,1
0.88854432,0.48399305
0.70313185,0.77708864
0.65534627,0.40626371
0.71661502,1
1,0.43323004
0.23875193,-1
0.26718125,-1
0.33981732,-0.46563753
0.45486131,-0.3203654
0.25189948,-0.30019632
0.39590436,-0.49620104
0.36701897,-0.20819128
0.67311543,0.21279109
0.52211076,0.34623086
0.65969467,0.24016654
1,0.067117214
0.84117419,1
0.52181077,0.68234837
1,0.39705849
0.70731586,1
0.26286206,-1
0,-0.42359757
0,-1
0.34071296,-1
0.34294489,-0.29212916
0.33921498,-0.31411025
0.61693776,-0.32157004
0.54805553,1
0.53761697,0.13483405
0.50822842,0.075233936
1,0.4394049
0.69710666,1
0.65058553,0.39421335
0.48226699,-0.031208068
0.54565781,0.0013053715
0.78473485,0.58413851
0.64471042,-1
0.75582731,0.28942087
1,0.51165462
0.74494153,0.53895092
0.62515754,0.48988304
0.72221041,0.25031504
0.76914245,0.59563494
0.84841406,0.59331179
1,0.69682813
1,0.42829323
1,1
1,1
0.69854414,0.28896526
0.70653862,0.39708829
0.46112648,-0.020705074
0.54784775,0.063874125
0.66355234,0.095695466
0.65752834,0.32710469
1,1
1,1
1,1
0.74448478,0.80999953
0.74613458,0.55750102
0.78389555,0.53750026
0.72217929,0.83820045
0.80434918,0.44435859
0.72282612,0.60869837
0.84347212,1
0.81835657,0.68694425
0.41309372,-0.13336757
0.3890937,-0.131641
0.45311457,-0.22181261
0.44293267,-0.093770862
1,0.65698659
0.82943177,1
0.59148347,0.65886354
0.69560415,0.78626072
0.91829455,0.46431631
1,0.85988069
0.83785921,1
1,0.67571843
0.7028116,1
0.72245973,0.3954955
1,0.4449195
0.41506332,-0.3907111
0.47036189,-0.013234586
0.4781996,-0.059276223
0.41779494,-0.043600798
0.48900846,-0.25960025
0.32631147,-0.021983057
0.42960331,-0.34737706
0,-0.28305542
0.38855213,-1
0.39383599,-0.22289574
0.6511386,0.11415967
0.66672605,0.38629252
0.53408235,0.33345208
0.54456973,0.37520301
0.70063257,0.12611037
0.82282352,1
0.75311047,0.56464434
0.80394489,0.50622094
1,0.60788977
0.74781942,1
1,0.49563885
1,1
0.68989003,1
0.91733021,0.37978005
1,0.83466041
1,1
0.80817646,1
1,0.61635292
0.84040201,1
0.82484728,1
1,0.64969456
1,1
0.44995946,-0.19252047
0,-0.10008109
0.49618244,-1
1,0.49573734
1,1
0.73217255,1
0.37328646,-0.13124439
0.4437671,-0.15990767
0.53505975,-0.11246577
0.58534425,0.0701195
0.35258126,-0.227456
0.3761583,-0.24017
0.38958505,-0.24768341
0.3968873,-0.22082987
0.424806,-0.11590278
0.42598242,-0.0043480098
0.41042197,-0.14803517
0.43454295,-0.17406899
0.43768653,0.026993662
0.36630052,-0.1246269
0.32584164,-0.26739895
0.68044311,0.042661458
0.61660802,0.37693062
0.60793769,0.25116318
0.43645939,-0.17829028
0.39686164,-0.12708125
0.44755849,-0.20627668
0.46636805,-0.36893019
0.33148968,-0.034239858
0.35540611,-0.15651
0.34028009,-0.20840982
0.41268715,-0.3194398
0.39694673,-0.17105469
0.3312152,-0.0023828447
0.28857255,-0.33625835
0.303716,-0.4228549
0.39466596,-0.28461561
0.31871372,-0.21066809
0.35861063,-0.36257255
0.25778219,-0.54449111
0.42526543,-0.48443565
0.52688771,-0.14257395
0.43502426,-0.054947317
0.44773242,-0.070430815
0.63151217,0.24035916
0.55770671,0.18255663
0.62852407,0.11541343
0.66231012,0.25704813
0.56593615,0.32508186
0.60373414,0.13569552
0.60946375,0.21913677
0.62391847,0.45844415
0.61242235,0.25985819
0.67612541,0.22484469
0.57711536,0.37089196
0.44367167,0.15423074
0.44839785,-0.11265668
0.69420552,0.082959086
0.66827518,0.41374949
0.60780013,0.19311622
0.52209198,0.21017715
0.63299143,0.044183999
0.7037462,0.26699561
0.64662266,0.62699842
0.61242384,0.29324535
0.66128743,0.22484767
0.76495206,0.56450367
0.52610129,0.53991342
0.44691315,0.052202582
0.28186181,-0.3548429
0.2787675,-0.43627641
0.59213912,-0.44246498
0.64468473,0.35970727
0.72040868,0.32752633
0,-0.38804418
0.18893246,-0.89235735
0.39732683,-0.22343047
0.25566864,-0.21592543
0.32871297,-0.22752091
0.5146535,-0.34257409
0.42833823,0.029307008
0.34362015,-0.12884459
0,-0.31275967
0.29117715,-1
0.32601538,-0.12933752
0.19288994,-0.34796926
0,-0.56020129
0,-0.38804418
0.18893246,-0.89235735
0.39732683,-0.22343047
0.093690164,-0.49966609
0,-0.4594003
0.66156375,0.17044288
0.67516643,0.32710242
0.65531582,0.35033283
0.43345645,-0.015782535
0.48043501,0.09821403
0.50228262,-0.039129972
0.504857,0.0045652092
0.44227526,0.13139495
0.41327059,-0.11544946
0.44555962,-0.17345881
0.47686908,-0.58521283
0.41165608,-0.038389355
0.37505251,-0.17025244
0.66156375,0.17044288
0.67516643,0.32710242
0.65531582,0.35033283
0.27454832,-0.441787
0.31821278,-0.42093685
0.4325456,-0.07246986
0.41494462,-0.088363409
0.49306104,-0.16813144
0.42238131,-0.0095137656
0.46246153,-0.12509546
0.40945715,-0.051001787
0.38439375,-0.17075378
0.7010026,0.19007176
0.79401284,0.41181031
0.76713473,0.59304744
0.75642985,0.44081315
0.6989215,0.52039188
0.54287422,0.40339547
0.7612108,0.44534278
0.73194045,0.55105484
0.45656219,-0.24183881
0.32027292,-0.27155155
0.4607659,-0.35822618
0.43208084,-0.07348305
0.46862432,0.015714556
0.44438589,-0.046652108
0.48320597,-0.1081692
0.6172083,0.16029131
0.66425943,0.23441663
0.57459164,0.32851884
0.68258142,0.26471877
0.65728903,0.39620522
0.88171101,0.32616937
0.38007775,-0.29243875
0.30783528,-0.22309461
0.36994961,-0.1854232
0.34679103,-0.15119207
0.43928191,-0.30641794
0.46897706,-0.12143615
0.52685344,0.0082910061
0.57763052,0.060459107
0.55162752,0.15838856
0.62110299,0.39015374
0.55955827,0.25022104
0.49931401,0.1249975
0.58700895,0.075245649
0.51641148,0.17401791
0.49092185,0.042120844
0.33264297,-0.35168758
0.35136321,-0.30949777
0.52160239,0.23010334
0.54534835,0.16724586
0.6299234,0.090696722
0.60220051,0.25984681
0.56164962,0.35230145
0.46440449,0.12657613
0.58353966,-0.069097131
0.66297376,0.33659101
0.61084652,0.34232274
0.40639985,0.24189025
0.3827517,-0.22617221
0.33449623,-0.22836977
0.34362799,-0.32294217
0.33707207,-0.37264088
0.34952566,-0.29915172
0.38365752,-0.16100636
0.3535648,-0.18526161
0.44024384,-0.29104751
0.41254982,-0.11652952
0.2708177,-0.2714642
0.29942632,-0.43681723
0.31818128,-0.38254929
0.31342125,-0.098966986
0.27446038,-0.35518134
0.20501344,-0.45107925
0.25431573,-0.42340207
0.2363928,-0.49136853
0.22426638,-0.52054876
0.24753374,-0.52353519
0.33261999,-0.46540165
0.37777129,-0.1448746
0.48497742,0.14126194
0.46852851,-0.020912766
0.41399097,-0.042369902
0.30651674,-0.1948055
0.33946714,-0.36267814
0.44076398,-0.31750157
0.39688012,-0.070046276
0.38380662,-0.19069639
0.41310346,-0.21980783
0.68999374,0.13046965
0.61101842,0.40067914
0.50531125,0.23042452
0.6125232,0.22829545
0.57003766,0.25178641
0.30331844,-0.12931719
0.29335609,-0.2640276
0.40027514,-0.41328785
0.36016122,-0.19605675
0.33585864,-0.13385299
0.36693117,-0.32828271
0.41420779,-0.25485989
0.56545156,0.052462578
0.52547646,0.13090312
0.46531492,0.059114248
0.20958567,-0.4876658
0.2539129,-0.58082867
0.23164603,-0.49217424
0.41830236,-0.20851094
0.44430634,-0.13559729
0.35978535,-0.0011882782
0.38733339,-0.096459121
0.41189265,-0.22075182
0.5203442,-0.16910356
0.59606439,0.35264498
0.61368543,0.21369711
0.6098792,0.23163879
0.70586139,0.49313051
0.74456275,0.41548422
0.67153537,0.48912552
0.62787765,0.25776818
1,0.25575534
0.76899076,1
0.51199174,-0.012966186
0.62079209,0.032378495
0.32820228,-0.24490628
0.31892064,-0.20465481
0.41955176,-0.35916606
0.41602328,-0.15433952
0.50877625,0.010892391
0.49837872,0.017552495
0.56604904,0.011908114
0.44341815,0.31570593
0.37886184,-0.087628007
0.38330516,-0.11048582
0.69023561,0.25277486
0.67147058,0.38047126
0.57032561,0.34823209
0.55774903,0.26476657
0.64562875,0.13578439
0.61014688,0.049867779
0.56118578,0.26745224
0.63895959,0.12237155
0.65260088,0.29090291
0.64275789,0.48975772
0.63801038,0.3154757
0.69979203,0.29441455
0.8264575,0.65851867
0.86354017,0.66603607
0.85331392,0.73706824
0.95935696,0.67339575
0.77353323,0.91871393
0.81475961,0.64703631
0.84155965,0.53978938
0.83501536,0.69535285
0.51577139,0.015627831
0.51684076,0.15012044
0.5934121,0.049134135
0.61385983,0.1868242
0.58287507,0.39270183
0.65473074,0.17498177
0.68455613,0.32251373
0.67620856,0.39828569
0.70537013,0.36491656
0.62991029,0.42063048
0.31980565,-0.11524403
0.29519156,-0.36038873
0.32595676,-0.40961686
0.30860093,-0.43243682
0.29643354,-0.35409042
0.44665194,-0.036396742
0.3868573,-0.06133762
0.45304501,-0.20990673
0.4773061,-0.07370466
0.23936205,0.064095676
0.28433868,-0.49982262
0.33801302,-0.43132266
0.2626467,0.32611331
0.26628143,-0.46872631
0.20898038,-0.46743715
0.36514318,-0.30669394
0.29889327,-0.26971364
0.31070524,-0.39376801
0.46650892,-0.37965053
0.50120795,-0.037950218
0.51928145,0.36106905
0.44966382,0.33835423
0.66131932,0.00046736002
0.68304479,0.41234225
0.71830696,0.55654711
0.55537301,0.43661392
0.7110967,0.20699838
0.50366181,0.14564371
0.48158059,0.025070459
0.26362756,-0.0368388
0.34641048,-0.22293672
0.3051931,-0.307179
0.39471447,-0.38961378
0.78826129,0.45688042
0.80056477,0.61466616
0.59229183,0.2557638
0.45607615,0.27478063
0.62849861,-0.066968381
0.57345629,0.29893053
0.6796096,0.49205193
0.58463365,0.39435342
0.69731015,0.24379909
0.49856916,0.6378361
0.63611162,0.046706349
0.64181495,0.4333871
0.70668727,0.3244662
0.67340714,0.4397113
0.66071898,0.36718467
0.56955129,0.26291454
0.54565698,0.15464103
0.61055779,0.097995132
0.59037125,0.43506411
0.4827503,0.28738964
0.53421426,0.024472326
0.49180591,-0.34383014
0.34165004,-0.26419839
0.42535669,-0.31669995
0.50368041,-0.14928663
0.58941555,0.29845914
0.35921508,0.25242499
0.52219218,-0.18006557
0.65324771,0.36367315
0.41934034,0.35599223
0.41875237,-0.14316121
0.5123902,-0.061900973
0.50792736,0.089490265
0.56301981,0.015854716
0.45278627,-0.060061544
0.35869494,-0.094427466
0.31213903,-0.38710746
0.32535532,-0.27858117
0.39461955,-0.34928939
0.39009795,-0.21076092
0.34143177,-0.032913208
0.69016129,-0.20520636
0.33858487,0.4052678
0.57060575,0.041397721
0.54861212,0.14687747
0.56346005,0.097224236
0.64273083,0.093875945
0.61646563,0.31909466
0.55756849,0.23293129
0.33193007,-0.40200716
0.29546553,-0.31033137
0.33640417,-0.21224594
0.38068798,-0.16672811
0.45584008,-0.23862401
0.45888814,-0.088319808
0.50256622,0.01376152
0.4022958,0.0051324368
0.54406315,-0.11826679
0.51954103,0.056905687
0.50858873,0.05203405
0.47472632,0.029335827
0.56444567,0.030888557
0.57214695,0.15873167
0.53293002,0.16590726
0.42137876,-0.19257504
0.34887025,-0.13159284
0.54178482,0.030121297
0.44189143,-0.13908711
0.47435197,-0.11621714
0.44920668,-0.051296026
0.32045016,-0.099382073
0.70125353,-0.27617016
0.35059881,0.42887577
0.44188517,-0.099407047
0.32454535,-0.11622965
0.3107526,-0.33637354
0.28897026,-0.4079687
0.27615073,-0.35910967
0.31858462,-0.42509261
0.57489049,-0.12876436
0.52601945,0.16975242
0.48380965,0.066984028
0.41441357,-0.078284472
0.43701631,-0.17117286
0.54178095,-0.0841555
0.49884018,0.11585638
0.49293017,0.012645245
0.46077302,-0.014139652
0.44325393,-0.084723115
0.41627288,-0.11349213
0.42347342,-0.16745424
0.2894952,-0.27371499
0.33249241,-0.36324468
0.40889373,-0.31812286
0.63664079,0.11727479
0.64995795,0.28654346
0.56802237,0.14802065
0.56852406,0.089783072
0.63561672,0.13704816
0.65616715,0.27123344
0.29431003,-0.14106366
0.57514691,-0.29614222
0,0.27445018
0.61788321,0.33412841
0.600263,0.28500056
0.47189814,0.27112463
0.67739576,0.65494907
0.85873169,0.35479152
0.73062778,0.71746337
0.84854764,0.60889399
1,0.69709527
0.56982678,0.19953978
0.50032699,0.17928457
0.61138088,0.00065401196
0.60683101,0.22276178
0.64897007,0.41468278
0.39121392,0.40917274
0.90750855,-0.21757218
0.94653928,1
0.94889677,0.89960569
0.95336175,0.89779353
0.77365184,0.38501462
1,0.54730368
1,1
0.7107265,0.74278831
0.69021416,0.42145303
0.61940879,0.3910228
0.6564548,0.55339777
0.71652961,0.3129096
0.72897947,0.43305922
0.69627857,0.52631897
0.69801199,0.47543913
0.62832725,0.48142901
0.77828389,0.57996142
0.78645408,0.55928797
0.75629324,0.6271612
0.90190846,0.25540152
1,0.80381691
0.72263652,1
0.82283354,0.66236597
0.86002541,0.66051567
0.90977937,0.31079707
0.62796324,0.43777522
0.72069299,0.25592646
0.72303134,0.44138598
0.53517425,0.3658953
0.49663603,0.13507837
0.91886181,0.069867373
0.95101351,0.86033988
0.54174095,0.90202701
0.58335769,0.097502828
0.69384348,0.055493951
1,0.447146
0.64374864,1
0.747886,0.45229316
0.66434819,0.53500032
0.67075729,0.30043843
0.73215866,0.55341417
0.7610516,0.46431735
0.7658866,0.52210319
0.8206805,0.75065136
0.70529789,0.641361
0.72970855,0.4105958
0.91600698,0.71235591
0.95025653,0.86540419
0.94454902,0.90051305
0.93309695,0.46163559
0.78436202,0.86619389
0.80422866,0.60622913
0.91271174,0.79795402
0.9229511,0.83358306
0.62912059,0.2465905
0.77742243,0.67076623
0.81375492,0.55484486
0.81626117,0.62750983
0.70634866,0.60210639
0.69667333,0.48755383
0.78567654,0.51229423
0.74062103,0.58008587
0.78450328,0.57284772
0.71187717,0.56900656
0.89430666,0.72065139
0.88692611,0.80736226
0.92907619,0.79772246
0.91954672,0.79397416
0.89990616,0.83909345
0.61604184,0.28511807
0.42395514,-0.026178986
0.39890105,-0.15208972
0.50419039,-0.12783116
0.72677296,0.63374817
0.66532528,0.48308086
0.81775701,0.4025709
0.87046665,0.66311896
0.8777197,0.76295537
0.87114453,0.7554394
0.91488993,0.82723701
0.93012542,0.8551392
0.94900584,0.86025083
0.84610653,0.8594014
0.8361693,0.7097466
0.56861383,0.17077649
0.71160138,0.59653091
0.76141834,0.42320275
0.75405729,0.52283669
0.61907172,0.50490737
0.68175936,0.43272343
0.77038473,0.52073509
0.83664083,0.63629007
0.8113839,0.67328167
0.79446661,0.62276781
0.82401264,0.31810093
0.74700713,0.67643249
0.80412859,0.49401423
0.34711808,-0.46307826
0.34170142,-0.26848066
0.7062102,0.55695391
0.64193839,0.47603908
0.70566833,0.28387678
0.70569372,0.41133666
0.76190311,0.54874694
0.63894069,0.52380621
0.55162418,0.36007398
0.84955251,0.58020234
0.7691496,0.71268922
0.76111352,0.58468527
0.29742903,-0.40322629
0.36700451,-0.39050996
0.35472438,-0.26599097
0.72425264,0.28829521
0.77385914,0.48701155
0.72791988,0.62751544
0.38155326,-0.034324944
0.47183207,-0.23689345
0.47199979,-0.056335837
0.56841034,0.071992785
0.5757944,0.13682064
0.64662278,0.26910651
0.63242209,0.20581582
0.6812017,0.32516187
0.5019803,0.39767182
0.41995397,-0.12101141
0.36712959,-0.16009209
0.37166941,-0.24602953
0.91312712,0.9302597
0.93087226,0.8654176
0.50482672,0.053584337
0.69728553,0.6169368
0.90811431,0.49799058
0.71585321,0.81622863
0.57403284,0.22790301
0.48750183,0.14806566
0.51638579,0.15495601
0.82874852,0.57776928
0.81908357,0.65749705
0.77471644,0.69005352
0.9640727,0.9490931
0.97086155,0.94380361
0.97230053,0.95481282
0.9630667,0.92579198
0.95447719,0.93406427
0.41497189,-0.1604763
0.49084055,-0.0032144487
0.46095675,-0.018318892
0.39808291,-0.078086495
0.46231908,-0.6654129
0.51682818,-0.01481694
0.62006021,0.088803768
0.65574807,0.32158113
0.54249156,0.45169407
0.34985065,0.21165252
0.85468537,0.64755189
0.84366339,0.71459258
0.80452257,0.68732679
0.84981585,0.59722269
0.88001174,0.71647918
0.57804847,-0.051500201
0.57983577,0.75997633
0.59369016,0.15967157
0.5833863,0.25552309
0.74048412,0.74194074
0.80773246,0.56543058
0.86761141,0.65084374
0.75080645,0.57900971
0.46748498,0.55185318
0.42671216,-0.065030068
0.93506354,0.7992484
0.91061473,0.88158262
0.93205214,0.84105664
0.63640279,0.16335836
0.82765442,0.31610146
0.66422653,0.54485297
0.68440431,0.49146739
0.7313183,0.3688086
0.72429335,0.46263659
0.57755572,0.48701078
0.53263414,0.31519207
0.52260303,0.200544
0.97026914,0.93743956
0.96354312,0.94731212
0.96207196,0.93695861
0.90164256,0.89639163
0.56015915,0.83070195
0.61205709,0.28824696
0.39405066,-0.15327936
0.33591926,-0.06897679
0.62119538,0.31385234
0.63764799,0.36575559
0.67049479,0.27529594
0.55716616,0.34098959
0.74772805,0.66909146
0.78807503,0.54058278
0.78744739,0.62177348
0.8324464,0.63143897
0.8464365,0.70470631
0.82392853,0.692873
0.44560167,0.043703049
0.50296909,-0.093076795
0.62842488,0.028386891
0.37631166,-0.38133729
0.38832119,-0.19438803
0.32897645,-0.014277965
0.6648277,0.35687563
0.7249738,0.32965544
0.74632257,0.44994757
0.83576542,0.70203865
0.7195906,0.67153084
0.83714217,0.58804756
0.98572212,0.93382561
0.97959018,0.97144425
0.98214179,0.95918036
0.21244106,-0.56663585
0.23563702,-0.55271852
0.24391255,-0.51392829
0.66105121,0.3582615
0.74221289,0.39214867
0.6349318,0.59567118
0.64064932,0.50009412
0.65236646,0.39375147
0.64994675,0.44698709
0.7423647,0.69780123
0.76187259,0.54937935
0.71585709,0.64226884
0.86351699,0.76148599
0.84091526,0.75910014
0.83909386,0.68183053
0.27165774,-0.41021255
0.26671249,-0.4230701
0.26607752,-0.44154984
0.39523828,-0.46863082
0.42064306,-0.20952344
0.56326795,0.65985548
0.68503493,0.62732267
0.7146346,0.46643001
0.70577025,0.53720427
0.73370129,0.51223773
0.71876025,0.54506874
0.76170528,0.4375205
0.46372598,-0.15238512
0.51608437,0.010511428
0.56221479,0.053658664
0.96385187,0.55855381
0.61745948,0.92770374
0.64065379,0.23491898
0.26039952,-0.47425318
0,-0.38304067
0.62460554,0.26103413
0.54693609,0.3175649
0.56227624,0.22407889
0.56584972,0.27968565
0.33409172,-0.25940561
0.60532939,-0.30486232
0.69857919,0.26707977
0.54510635,0.15668222
0.56072676,0.10190591
0.594365,0.13346425
0.29562789,-0.46310329
0.27617159,-0.40874422
0.31859657,-0.44765678
0.25012308,-0.57105315
0.20996933,-0.4611122
0.46788231,0.64326084
0.35542727,-0.072897136
0.42238504,-0.23821312
0.3546288,-0.15522993
0.54645133,0.12436429
0.58563268,0.09290266
0.36998326,0.23880121
0.29460794,-0.31717145
0.21301004,-0.41078413
0.19036193,-0.56934619
0.22414763,-0.45576835
0,-0.46566367
0,-1
0.448906,-0.15215218
0.30607736,-0.10218799
0.51375544,0.20608643
0.32551485,-0.2801255
0.36803037,-0.34897029
0.47431225,-0.26393926
0.25391695,-0.12647557
0.23057692,-0.43932042
0.15665019,-0.45057273
0.3288981,-0.15490377
0.29984888,-0.3236095
0.20290537,-0.32361767
0,-0.41197288
0.2495877,-1
0,-0.50082457
0.55211997,0.0064162016
0.6178143,0.12909767
0.42689878,-0.08731398
0.4193427,-0.14365587
0.41805351,-0.16131461
0.40331846,-0.16389298
0.47223908,0.032703996
0.44936356,0.027398258
0.52208424,-0.029294014
0.66631001,0.096545249
0.55761081,0.33262005
0.5504775,0.11522162
0.49094188,-0.086397648
0.4178617,-0.0055884123
0.3478359,-0.15671539
0.40115345,-0.4905504
0.42679474,-0.19769311
0.29766515,-0.29968753
0.37839696,-0.32214054
0.38110602,-0.24320611
0.4131262,-0.21571839
0.50277311,0.063739747
0.45643169,0.039551795
0.24729152,-0.025038123
0.79026037,0.6338011
0.76293421,0.58551699
0.77894187,0.56606084
0.68306148,0.15137964
0.93177837,0.36612299
0.6482451,0.86355674
0.57252741,0.16569629
0.64786488,0.14505485
0.36792749,-0.23656127
0.28588101,-0.34797853
0.36639377,-0.42823794
0.43255576,-0.26721242
0.45107731,0.38496828
0.4199422,-0.081617802
0.66207927,-0.14879245
0.46990037,0.089933276
0.45979601,0.019545138
0.33296126,-0.080407977
0.24249688,-0.45333782
0.26597494,-0.46458355
0.24632823,-0.42232209
0.61989111,0.12157214
0.57019627,0.23978224
0.31971905,-0.29685867
0.55790532,0.22390351
0.64668655,0.1158106
0.62855893,0.29337311
0.34985569,-0.005523175
0.3347508,-0.30028859
0.42935529,-0.33049837
0.44282424,-0.10016194
0.39490172,-0.11435151
0.31569564,-0.21019658
0.50991601,-0.62475067
0.56870705,0.019832045
0.59024113,0.17384103
0.45183349,-0.34033203
0.3222509,-0.096333027
0.33799344,-0.13874862
0.28173149,-0.32490456
0.36206457,-0.43653703
0.39600629,-0.27587083
0.32400203,-0.12031066
0.40864834,-0.35199594
0.27620593,-0.17557225
0.33499122,-0.21916217
0,-0.33001757
0.22549483,-1
0.41972733,-0.49969709
0.46613634,-0.15487438
0.43448123,-0.067727327
0.25350928,-0.84784329
0.25333646,-0.4620955
0.58802873,0.14534685
0.32535324,-0.22954404
0.54027551,-0.34929356
0.62304884,0.080550998
0.27730107,-0.068094611
0.28944057,-0.44539785
0.34232578,-0.35157251
0.54779625,0.18182608
0.52416635,0.1070649
0.29284689,0.063105375
0.86449564,0.3409712
0.72723275,0.80764562
0.55013561,0.45446548
0.29302117,-0.30050862
0.27278289,-0.37971649
0.35186619,-0.45443425
0.35856494,-0.29626763
0.34005097,-0.16779387
0.31469411,-0.31668785
0.33468565,-0.37061179
0.2673251,-0.35104063
0.3952826,-0.41754264
0.22560492,-0.16422072
0.85088354,0.55137491
1,0.70176709
0.7750625,1
0.31784251,-0.23107868
0.42540145,-0.18746039
0.49203262,-0.1491971
0.44664702,-0.015934795
0.55104464,0.024063945
0.51306856,0.16820067
0.40507108,0.075413406
0.30306041,-0.38484955
0,-0.35546523
0.20724308,-0.87135941
0.39857376,0.097252548
0,-0.20285249
0.28995267,-0.96469551
0.46207407,0.0010736287
0.32161939,-0.27281329
0.46173704,-0.34884685
0.44625816,-0.076525927
0.65826392,0.27959585
0.69377118,0.31652784
0.5190295,0.39906007
0.3574861,-0.17136514
0.26284155,-0.28502783
0.25317073,-0.43069276
0.38070887,-0.042297542
0.30449113,-0.36776292
0.35290855,-0.39101776
0.47408772,-0.2941829
0.22614262,-0.13505676
0.23386011,-0.44696805
0.22263815,-0.4696314
0.66638553,0.1912334
0.74109358,0.33277103
0.71738535,0.50626785
0.35390586,-0.29220307
0.2835038,-0.43300724
0.34198096,-0.43299243
0.36566293,-0.3160381
0.29956686,-0.10136339
0.27902874,-0.37698573
0.2940104,-0.43153849
0.78187746,0.5042367
0.78553468,0.59696293
0.82991505,0.59073234
0.31243411,-0.16075078
0.28287375,-0.43769005
0.41819093,-0.4342525
0.42445651,-0.16361818
0.29292831,-0.16855812
0.33089283,-0.37942746
0.28570676,-0.30345485
0.21841997,-0.44277287
0,-0.56316006
0.18447803,-0.94835681
0.32581249,-0.30370316
0.29532966,-0.29560378
0.34849581,-0.40934071
0.40322563,-0.30300835
0.52307534,0.055081397
0.54600358,0.046150655
0.48393086,0.12650025
0.61788499,-0.23069391
0.58450401,0.23576999
0.54738319,0.16900805
0.33204818,-0.027302176
0.35659042,-0.23776564
0.36941436,-0.28681913
0.43507969,-0.23853174
0.38759065,-0.052330583
0.34033573,-0.22481871
0.36640722,-0.30752599
